Rpt Dist No,total_crime,shannon_index,normalized_shannon
0101,799,1.4522977690334424,0.6984075964262176
0105,239,1.5228933140242074,0.7323568773152277
0109,25,1.5960983603552275,0.7675610630851641
0111,3372,1.5575502644377581,0.7490233474798825
0112,207,1.5563284607003256,0.748435784082238
0118,922,1.5440082990668997,0.7425110387184066
0119,2533,1.64921233634965,0.7931034863415138
0121,411,1.4481485014920354,0.6964122205244477
0122,283,1.6853403976200065,0.8104774112854058
0123,318,1.7440560239662,0.8387136589361867
0124,767,1.4503762499180544,0.6974835410599697
0127,269,1.445805736943124,0.6952855889255528
0128,680,1.5530644297173148,0.7468661169780721
0129,446,1.217327317255521,0.5854106945810688
0131,306,1.5667888149404408,0.7534661511449566
0132,806,1.6977773031778942,0.8164582986095288
0133,397,1.2934712696217465,0.622028195405215
0134,569,1.4716604961748998,0.7077190999012398
0135,861,1.5275043724397932,0.7345743276850327
0138,1717,1.4268617215515191,0.6861754432388886
0139,1339,1.2022287634401279,0.5781498250097145
0141,268,1.6444916947287591,0.7908333375894226
0142,1099,1.5909662789697656,0.765093053630416
0143,550,1.4758310768057465,0.7097247252324899
0144,396,1.6709209657544795,0.8035431303371284
0145,491,1.6269460884101203,0.782395684514326
0146,287,1.469319020618162,0.7065930881765504
0147,527,1.4724315292464873,0.7080898884308201
0148,582,1.4776338816952026,0.7105916911237261
0151,331,1.621145928708253,0.7796063973015767
0152,2645,1.6520033244325667,0.7944456678969818
0153,2585,1.5523570339932733,0.7465259315437318
0154,1433,1.5755817663141587,0.7576946669255035
0155,707,1.6847054340802434,0.810172058368752
0156,1591,1.4640514777628262,0.7040599355248627
0157,1291,1.4777028164241486,0.7106248417209245
0158,1017,1.6222967180308874,0.7801598099845342
0159,1737,1.2210004761782178,0.587177110635126
0161,1799,1.3121755417839345,0.6310230489691571
0162,4654,1.4390962912548622,0.6920590275850297
0163,1289,1.4473372272651783,0.6960220800898185
0164,1326,1.5350586027274726,0.7382071445429554
0165,489,1.579174052770941,0.7594221915443877
0166,1078,1.4802252165206111,0.7118378597576926
0171,929,1.6031796657647321,0.7709664511509351
0174,824,1.5065211835000691,0.7244835468099073
0176,1100,1.5201925903992752,0.731058103788394
0181,528,1.3988235851605393,0.6726919497965436
0182,4169,1.4891433465351913,0.7161265737397052
0185,2332,1.4360465517600902,0.6905924129033262
0191,329,1.5783247203118989,0.7590137489688122
0192,2304,1.5330570852318557,0.7372446180878958
0195,1309,1.5157371364937051,0.7289154833702355
0201,1132,1.7074932436920598,0.8211306783419817
0202,668,1.6606110508278096,0.7985851092915638
0203,476,1.594730954431014,0.7669034798365825
0204,1224,1.373255575537302,0.660396336233595
0205,1655,1.1949483050851397,0.5746486646216677
0211,725,1.5233890171555027,0.732595260131652
0212,977,1.6471825473445594,0.7921273641642821
0213,2,0.6931471805599453,0.33333333333333337
0215,566,1.5643187743675702,0.7522783127165317
0216,748,1.5647105965512944,0.752466739356988
0217,665,1.545837159154463,0.7433905345113424
0218,1013,1.5589122433671951,0.7496783208956471
0219,732,1.4378867029592617,0.6914773385731696
0221,723,1.7039023076951298,0.8194038031570082
0224,1,-0,-0
0225,1,-0,-0
0226,1,-0,-0
0231,764,1.6072448465187237,0.7729213898556353
0233,907,1.635272351178946,0.7863997705162337
0234,2,0.6931471805599453,0.33333333333333337
0235,1065,1.5560741992166656,0.7483135101550495
0236,1504,1.4798019046012407,0.7116342897554176
0237,1935,1.590663591279573,0.7649474916205564
0238,911,1.5895722712253681,0.7644226776104817
0239,188,1.4538444334807397,0.6991513848022293
0241,548,1.5552847727808712,0.7479338762870271
0242,1,-0,-0
0244,1,-0,-0
0245,2343,1.619022589952138,0.7785852872037184
0246,1911,1.6850895115244766,0.8103567605767894
0247,616,1.5649522713196446,0.7525829603535904
0248,943,1.6723007546151871,0.8042066685194007
0249,1831,1.549206472845415,0.7450108318957209
0251,931,1.5754169292679312,0.7576153970624545
0256,1375,1.5687462614047596,0.7544074839139161
0257,1631,1.63197847520277,0.7848157510041895
0261,1050,1.6462239418781859,0.7916663723801134
0265,1080,1.6101458961031576,0.7743164998052473
0266,894,1.5255590774570904,0.7336388385434955
0267,2,-0,-0
0269,1815,1.5907700921923968,0.7649987077334834
0271,714,1.6502473314954302,0.7936012137962343
0275,948,1.606007774248713,0.7723264838459135
0277,1,-0,-0
0279,525,1.5381904146481757,0.7397132277186206
0281,512,1.5673995694442824,0.7537598619762542
0285,550,1.616804001074982,0.7775183714801037
0289,411,1.5142174237787462,0.7281846560377531
0291,542,1.642941890976709,0.7900880395269447
0292,121,1.449826073668918,0.6972189622112217
0295,562,1.6186270653394166,0.7783950800712776
0299,677,1.608965490572578,0.7737488447368456
0301,234,1.6211950885970188,0.779630038210821
0303,143,1.6665508952547743,0.8014415706577085
0305,255,1.7221134233131923,0.8281614985540863
0307,239,1.7061993191606408,0.8205084321737275
0308,830,1.5788357203238679,0.7592594880298662
0309,33,1.6543065171947342,0.7955532694890453
0311,1115,1.712721950043223,0.8236451545830109
0312,793,1.6844965418264355,0.8100716024292023
0313,336,1.6050022694042028,0.7718429382283252
0314,927,1.649411342529844,0.7931991880846045
0315,714,1.6622857902943649,0.799390488732624
0316,680,1.6042849975907725,0.7714980033989234
0317,693,1.6670678913249257,0.8016901932132307
0318,476,1.5819257836242597,0.7607454943630357
0319,558,1.6829430721427134,0.8093245414262433
0321,896,1.5220680186734472,0.7319599941452909
0325,629,1.5795002242336407,0.7595790468616265
0326,796,1.674364343302089,0.8051990449077433
0327,561,1.5044515878618265,0.7234882816885947
0328,1555,1.5212121594115335,0.7315484128410036
0329,442,1.6827813151869906,0.8092467527736265
0331,714,1.671530015219518,0.8038360212180842
0332,546,1.6326935959562383,0.7851596513924114
0333,753,1.5737369173876417,0.7568074821263451
0334,942,1.6693430690226183,0.8027843224070981
0335,504,1.6235667995377603,0.7807705900816976
0336,563,1.6304054227705054,0.7840592726898273
0337,643,1.6374118279793064,0.7874286413728927
0338,1207,1.442932650808106,0.6939039265525403
0341,551,1.5069920559024421,0.724709988569839
0343,247,1.5180002683019784,0.7300038197157934
0351,352,1.6966571099793424,0.815919599552066
0353,615,1.5335091880986806,0.7374620336092091
0354,654,1.6731052616621511,0.8045935546284058
0355,878,1.6852789979887315,0.8104478843042214
0356,1383,1.6542672963403566,0.7955344082450087
0357,1386,1.6551106260016262,0.7959399640850581
0358,1332,1.3286885055752597,0.6389641059598651
0359,593,1.6192846314367262,0.7787113025204926
0361,1639,1.5745326025697344,0.7571901258151164
0362,1872,1.583043532753154,0.7612830180714403
0363,2348,1.576984819772898,0.7583693930145119
0373,863,1.6858120897864146,0.8107042472685069
0374,565,1.6446086550132974,0.7908895835969175
0375,1153,1.694508275423836,0.8148862285664261
0376,1185,1.6992122807634558,0.8171483769583543
0377,714,1.69472746831384,0.814991638064895
0378,643,1.303436203338841,0.6268203155573615
0379,955,1.6517773646749319,0.7943370042230551
0391,745,1.6409508412057145,0.7891305469833525
0392,1394,1.69668309542168,0.8159320959083313
0393,1517,1.6167949854870651,0.7775140358987775
0394,492,1.6595294573330883,0.7980649727678665
0395,1814,1.8127069950573151,0.8717277974513078
0396,1081,1.6247672710304768,0.7813478948381212
0397,1843,1.6687989274120316,0.8025226456060531
0398,920,1.6859747709714954,0.8107824803814941
0399,551,1.5923160085778862,0.7657421363678083
0401,131,1.6403983773178554,0.7888648680129243
0402,320,1.5817707543748978,0.7606709410532866
0403,32,1.6764769856131068,0.8062150111028358
0404,409,1.402402623487394,0.6744131034116453
0405,5,0.6730116670092565,0.32365019815155627
0406,334,1.374666047681023,0.6610746299559478
0407,499,1.630320580068827,0.7840184719748383
0408,299,1.6905645670458282,0.8129897057265381
0409,582,1.6004423935242393,0.7696501014552943
0411,390,1.36053132860218,0.6542772669161461
0412,948,1.592895607161266,0.7660208643684577
0413,138,1.527335984242784,0.7344933500794429
0414,112,1.5599240086034085,0.7501648771252568
0415,632,1.5939341508770872,0.7665202983246449
0416,386,1.6783085256259558,0.8070957956674114
0417,366,1.6864306414644523,0.8110017077479863
0418,164,1.6511838818819145,0.794051599328942
