crime_category,crime_count,proportion
Financial Crime,17898,0.020452823547830103
Other Crime,11405,0.01303298986272222
Property Crime,298812,0.34146547714684367
Public Order Crime,34950,0.03993888607647011
Sexual Crime,23373,0.026709344328049667
Vehicle-related Crime,227624,0.2601158513382098
Violent Crime,173758,0.19856082880902126
Weapon-related Crime,87267,0.09972379889085314
